"sblack","shisp","swhite","sother","smale","sage","sempl","sincome","spop","daytime","inctype_lin","omajblack","omajhisp","omajwhite","omajother","osplit","sbehavior","year","anyuseofforce_coded"
0,0,1,0,0,59,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,58,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,1,3,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,61,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,60,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,64,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,62,1,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,64,1,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,64,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,64,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,64,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,63,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,63,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,64,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,68,1,2,1,0,2,0,0,1,0,0,0,2011,0
0,1,0,0,0,68,0,2,1,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,65,1,2,2,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,65,1,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,66,0,2,1,0,2,0,0,1,0,0,1,2011,0
0,0,1,0,0,70,0,2,1,1,2,1,0,0,0,0,0,2011,0
0,1,0,0,0,73,0,1,4,0,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,72,0,1,1,0,2,0,0,1,0,0,0,2011,0
0,0,0,1,0,74,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,70,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,85,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,77,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,81,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,78,0,3,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,77,0,1,2,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,80,0,1,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,76,0,2,1,1,1,0,0,1,0,0,0,2011,0
0,0,1,0,0,76,0,2,1,1,2,0,0,1,0,0,0,2011,0
0,0,1,0,0,78,0,2,1,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,20,1,1,2,1,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,20,1,1,2,0,2,0,0,1,0,0,0,2011,0
1,0,0,0,1,22,1,2,1,0,2,0,0,1,0,0,0,2011,0
